Last metadata expiration check: 20:51:34 ago on Tue 12 Aug 2025 02:29:57 PM EDT.
Dependencies resolved.
==========================================================================================================================================================
 Package                                    Architecture          Version                                           Repository                       Size
==========================================================================================================================================================
Installing:
 kernel                                     x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    11 M
 kernel-devel                               x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    24 M
 kernel-modules-extra                       x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    11 M
Upgrading:
 apptainer                                  x86_64                1.4.1-1.el8                                       epel                             44 M
 audit-libs                                 x86_64                3.1.2-1.el8_10.1                                  rhel08-baseos                   125 k
 autofs                                     x86_64                1:5.1.4-114.el8_10.4                              rhel08-baseos                   720 k
 cvmfs                                      x86_64                2.13.2-1.el8                                      cvmfs                            16 M
 cvmfs-libs                                 x86_64                2.13.2-1.el8                                      cvmfs                            12 M
 device-mapper                              x86_64                8:1.02.181-15.el8_10.2                            rhel08-baseos                   379 k
 device-mapper-libs                         x86_64                8:1.02.181-15.el8_10.2                            rhel08-baseos                   412 k
 dracut                                     x86_64                049-237.git20250603.el8_10                        rhel08-baseos                   381 k
 dracut-network                             x86_64                049-237.git20250603.el8_10                        rhel08-baseos                   112 k
 e2fsprogs                                  x86_64                1.45.6-6.el8_10                                   rhel08-baseos                   1.0 M
 e2fsprogs-libs                             x86_64                1.45.6-6.el8_10                                   rhel08-baseos                   233 k
 emacs                                      x86_64                1:26.1-15.el8_10                                  rhel08-appstream                3.2 M
 emacs-common                               x86_64                1:26.1-15.el8_10                                  rhel08-appstream                 39 M
 emacs-filesystem                           noarch                1:26.1-15.el8_10                                  rhel08-baseos                    71 k
 emacs-nox                                  x86_64                1:26.1-15.el8_10                                  rhel08-appstream                2.8 M
 gdk-pixbuf2                                x86_64                2.36.12-7.el8_10                                  rhel08-baseos                   467 k
 gdk-pixbuf2-modules                        x86_64                2.36.12-7.el8_10                                  rhel08-appstream                109 k
 ghostscript                                x86_64                9.27-17.el8_10                                    rhel08-appstream                 85 k
 git                                        x86_64                2.43.7-1.el8_10                                   rhel08-appstream                 93 k
 git-core                                   x86_64                2.43.7-1.el8_10                                   rhel08-appstream                 11 M
 git-core-doc                               noarch                2.43.7-1.el8_10                                   rhel08-appstream                3.1 M
 glib2                                      x86_64                2.56.4-166.el8_10                                 rhel08-baseos                   2.5 M
 glib2-devel                                x86_64                2.56.4-166.el8_10                                 rhel08-baseos                   426 k
 glibc                                      x86_64                2.28-251.el8_10.25                                rhel08-baseos                   2.2 M
 glibc-all-langpacks                        x86_64                2.28-251.el8_10.25                                rhel08-baseos                    26 M
 glibc-common                               x86_64                2.28-251.el8_10.25                                rhel08-baseos                   1.0 M
 glibc-devel                                x86_64                2.28-251.el8_10.25                                rhel08-baseos                    89 k
 glibc-gconv-extra                          x86_64                2.28-251.el8_10.25                                rhel08-baseos                   1.6 M
 glibc-headers                              x86_64                2.28-251.el8_10.25                                rhel08-baseos                   494 k
 grub2-common                               noarch                1:2.02-167.el8_10                                 rhel08-baseos                   898 k
 grub2-tools                                x86_64                1:2.02-167.el8_10                                 rhel08-baseos                   2.0 M
 grub2-tools-minimal                        x86_64                1:2.02-167.el8_10                                 rhel08-baseos                   217 k
 gstreamer1-plugins-bad-free                x86_64                1.16.1-5.el8_10                                   rhel08-appstream                1.8 M
 kernel-headers                             x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    12 M
 kernel-tools                               x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    11 M
 kernel-tools-libs                          x86_64                4.18.0-553.69.1.el8_10                            rhel08-baseos                    11 M
 krb5-devel                                 x86_64                1.18.2-32.el8_10                                  rhel08-baseos                   563 k
 krb5-libs                                  x86_64                1.18.2-32.el8_10                                  rhel08-baseos                   846 k
 krb5-workstation                           x86_64                1.18.2-32.el8_10                                  rhel08-baseos                   960 k
 lftp                                       x86_64                4.8.4-6.el8_10                                    rhel08-appstream                883 k
 libblockdev                                x86_64                2.28-7.el8_10                                     rhel08-appstream                133 k
 libblockdev-crypto                         x86_64                2.28-7.el8_10                                     rhel08-appstream                 82 k
 libblockdev-fs                             x86_64                2.28-7.el8_10                                     rhel08-appstream                 88 k
 libblockdev-loop                           x86_64                2.28-7.el8_10                                     rhel08-appstream                 71 k
 libblockdev-mdraid                         x86_64                2.28-7.el8_10                                     rhel08-appstream                 78 k
 libblockdev-part                           x86_64                2.28-7.el8_10                                     rhel08-appstream                 81 k
 libblockdev-swap                           x86_64                2.28-7.el8_10                                     rhel08-appstream                 73 k
 libblockdev-utils                          x86_64                2.28-7.el8_10                                     rhel08-appstream                 81 k
 libcom_err                                 x86_64                1.45.6-6.el8_10                                   rhel08-baseos                    50 k
 libcom_err-devel                           x86_64                1.45.6-6.el8_10                                   rhel08-baseos                    39 k
 libgs                                      x86_64                9.27-17.el8_10                                    rhel08-appstream                3.1 M
 libipa_hbac                                x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   129 k
 libjpeg-turbo                              x86_64                1.5.3-14.el8_10                                   rhel08-appstream                157 k
 libjpeg-turbo-devel                        x86_64                1.5.3-14.el8_10                                   rhel08-appstream                109 k
 libkadm5                                   x86_64                1.18.2-32.el8_10                                  rhel08-baseos                   189 k
 libnfsidmap                                x86_64                1:2.3.3-64.el8_10                                 rhel08-baseos                   123 k
 libnsl                                     x86_64                2.28-251.el8_10.25                                rhel08-baseos                   111 k
 libsemanage                                x86_64                2.9-12.el8_10                                     rhel08-baseos                   169 k
 libsmbclient                               x86_64                4.19.4-9.el8_10                                   rhel08-baseos                   157 k
 libsoup                                    x86_64                2.62.3-9.el8_10                                   rhel08-baseos                   426 k
 libss                                      x86_64                1.45.6-6.el8_10                                   rhel08-baseos                    54 k
 libsss_autofs                              x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   132 k
 libsss_certmap                             x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   187 k
 libsss_idmap                               x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   134 k
 libsss_nss_idmap                           x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   142 k
 libsss_sudo                                x86_64                2.9.4-5.el8_10.2                                  rhel08-baseos                   130 k
 libvpx                                     x86_64                1.7.0-12.el8_10                                   rhel08-appstream                855 k
