"{0.16979952709403978, 0.5488787022096779}","{0.6498619670355603, 0.8470435929415894}","{0.8226884398357959, 0.6103890038740158}","{0.8020738944321113, 0.03714883378893408}","{0.8853295872347409, 0.6532857584345895}","{0.08982631108959493, 0.5707870328229336}","{0.12037891924325983, 0.19216073666414912}","{0.8474437873564908, 0.33180550527779773}","{0.5543987704373683, 0.9239035155691695}","{0.34652872628236686, 0.9906268918188552}"
"{0.1284991055072684, 0.9543376489832798}","{0.17010868506837573, 0.9588724192822944}","{0.7822622558856409, 0.6269207339126734}","{0.636111884905961, 0.5098698652045468}","{0.23752347528368012, 0.8746557897992127}","{0.6225939172549202, 0.0006022306201629579}","{0.9932590835064115, 0.2798043170255502}","{0.9714056309302928, 0.08244100137883037}","{0.5696194952571036, 0.018536354139924605}","{0.11555373867146512, 0.16601987491462067}"
"{0.6282738864966526, 0.9950416090958636}","{0.45914610147633494, 0.5027050857022084}","{0.483255856482419, 0.6360385056619315}","{0.0889496616496368, 0.36914925887050454}","{0.5621200037944092, 0.9575996307146233}","{0.1379387252905806, 0.33712526668921927}","{0.9441109525246094, 0.5247518718678326}","{0.9361065264296797, 0.7191718790345718}","{0.6561070055940308, 0.803768823437488}","{0.6088996764714669, 0.10331251188584112}"
"{0.27337421636487313, 0.8724331035772372}","{0.6810312980851512, 0.8505203672828987}","{0.5864804577377414, 0.1893068096250925}","{0.9766440385075474, 0.7810712423575414}","{0.0021036902058122475, 0.2764855349235722}","{0.013116228368793115, 0.5595103442611826}","{0.47937211187299766, 0.347057147200305}","{0.679597095549918, 0.5054739077383728}","{0.4596866194430649, 0.09593687432730058}","{0.9793961394178394, 0.43314383519435506}"
"{0.468857566318992, 0.724059329500718}","{0.35838132723880056, 0.3128268417269573}","{0.3816647023398476, 0.4871855064173731}","{0.9035134638153306, 0.2552097646148237}","{0.5277315369507964, 0.4055623602189604}","{0.2716752889950864, 0.127095520811648}","{0.7493813055595242, 0.8173171876072347}","{0.6045818529846485, 0.7493511754554238}","{0.8913145083891989, 0.1759963511421696}","{0.6360720915819473, 0.5239738471171582}"
"{0.587907293824024, 0.2709757760263749}","{0.2441119678327992, 0.15626821739480334}","{0.8843113167336161, 0.2076859098476882}","{0.46753570489198903, 0.65265716626581}","{0.5539005018647445, 0.757264333364936}","{0.4772544265059675, 0.8431467612345311}","{0.11259113932799192, 0.8249248858454423}","{0.4874269621723082, 0.1533538755030437}","{0.2583625583654596, 0.49234596224685334}","{0.2326983152815032, 0.6671940759303256}"
"{0.5484425326763906, 0.9954901138556218}","{0.9138831316719049, 0.4236090726400683}","{0.13769957703902547, 0.9351027172816231}","{0.6687199097981706, 0.18762454996243116}","{0.3694693084196581, 0.6258415616027231}","{0.22193777717840946, 0.3235784413603966}","{0.0831877240280936, 0.4013630226115026}","{0.7069470000100793, 0.30183852547200773}","{0.7010856787769686, 0.30297973277827506}","{0.4336801837411275, 0.23927097514290274}"
"{0.05835692112402535, 0.7651256182223103}","{0.7604199355741457, 0.7634078318929667}","{0.3108928144717784, 0.4673006039083043}","{0.5403985466879657, 0.6012614891947641}","{0.8345311187573985, 0.1317573081582888}","{0.970826411957127, 0.1802925916384297}","{0.34507910894269656, 0.005860796167991289}","{0.5893292575688607, 0.858894884082881}","{0.7434000753696275, 0.668140661589357}","{0.516719299907137, 0.5731536522887362}"
"{0.761416316304782, 0.43321216679734564}","{0.9985420370953189, 0.2145483143730642}","{0.9474953090370826, 0.41229268712112965}","{0.6511327684262258, 0.02314852541371759}","{0.3567762255007809, 0.4995471420802058}","{0.3350863328480014, 0.6992920515784127}","{0.6057894748830095, 0.9914878169581571}","{0.6310391938141262, 0.20361499681643447}","{0.7989077509826141, 0.10529657077165644}","{0.049805387181315997, 0.7891888268408682}"
"{0.6130835229321883, 0.08770632780368692}","{0.8134719960482086, 0.7696829316863196}","{0.6446880676536142, 0.13170241358239898}","{0.4753198992906964, 0.9343745306821929}","{0.5633560671975899, 0.9927023001477375}","{0.9991335372341477, 0.43440073179089067}","{0.7428988635845353, 0.6216869617177987}","{0.4006336318392323, 0.6542552432958253}","{0.567940059234042, 0.4407437231395699}","{0.4811357348165155, 0.7662819622760642}"
