X Y Bandwidth Latency Iter HostX HostY

0 0 10322.64 0.14 0 p-sc-2101 p-sc-2101
0 1 6650.85 0.77 1 p-sc-2101 p-sc-2102
0 2 6754.85 0.75 2 p-sc-2101 p-sc-2103
0 3 7274.17 0.80 3 p-sc-2101 p-sc-2104
0 4 7203.35 0.76 4 p-sc-2101 p-sc-2105
0 5 7378.27 0.77 5 p-sc-2101 p-sc-2106
0 6 7422.41 0.75 6 p-sc-2101 p-sc-2107
0 7 7438.94 0.74 7 p-sc-2101 p-sc-2108
0 8 7328.56 0.75 8 p-sc-2101 p-sc-2109
0 9 7506.48 0.76 9 p-sc-2101 p-sc-2110
0 10 7470.80 0.75 10 p-sc-2101 p-sc-2111
0 11 7595.85 0.74 11 p-sc-2101 p-sc-2112
0 12 7606.39 0.76 12 p-sc-2101 p-sc-2113
0 13 7554.11 0.76 13 p-sc-2101 p-sc-2114
0 14 7519.67 0.74 14 p-sc-2101 p-sc-2115
0 15 7329.64 0.75 15 p-sc-2101 p-sc-2116

1 0 6652.76 0.77 1 p-sc-2102 p-sc-2101
1 1 11975.32 0.13 0 p-sc-2102 p-sc-2102
1 2 7305.65 0.76 3 p-sc-2102 p-sc-2103
1 3 7050.84 0.75 2 p-sc-2102 p-sc-2104
1 4 7327.52 0.75 5 p-sc-2102 p-sc-2105
1 5 7365.94 0.75 4 p-sc-2102 p-sc-2106
1 6 7456.69 0.74 7 p-sc-2102 p-sc-2107
1 7 7242.22 0.76 6 p-sc-2102 p-sc-2108
1 8 7478.80 0.75 9 p-sc-2102 p-sc-2109
1 9 7470.37 0.74 8 p-sc-2102 p-sc-2110
1 10 7589.11 0.74 11 p-sc-2102 p-sc-2111
1 11 7500.30 0.73 10 p-sc-2102 p-sc-2112
1 12 7500.38 0.74 13 p-sc-2102 p-sc-2113
1 13 7549.56 0.77 12 p-sc-2102 p-sc-2114
1 14 7528.92 0.73 15 p-sc-2102 p-sc-2115
1 15 7444.39 0.75 14 p-sc-2102 p-sc-2116

2 0 6753.34 0.76 2 p-sc-2103 p-sc-2101
2 1 7304.65 0.77 3 p-sc-2103 p-sc-2102
2 2 9270.33 0.15 0 p-sc-2103 p-sc-2103
2 3 6811.02 0.79 1 p-sc-2103 p-sc-2104
2 4 7309.38 0.75 6 p-sc-2103 p-sc-2105
2 5 7556.48 0.75 7 p-sc-2103 p-sc-2106
2 6 7446.04 0.75 4 p-sc-2103 p-sc-2107
2 7 7520.95 0.76 5 p-sc-2103 p-sc-2108
2 8 7654.28 0.76 10 p-sc-2103 p-sc-2109
2 9 7611.58 0.74 11 p-sc-2103 p-sc-2110
2 10 7642.35 0.74 8 p-sc-2103 p-sc-2111
2 11 7610.66 0.74 9 p-sc-2103 p-sc-2112
2 12 7693.54 0.75 14 p-sc-2103 p-sc-2113
2 13 7684.66 0.77 15 p-sc-2103 p-sc-2114
2 14 7728.99 0.75 12 p-sc-2103 p-sc-2115
2 15 7674.56 0.75 13 p-sc-2103 p-sc-2116

3 0 7272.21 0.79 3 p-sc-2104 p-sc-2101
3 1 7048.73 0.76 2 p-sc-2104 p-sc-2102
3 2 6810.01 0.79 1 p-sc-2104 p-sc-2103
3 3 9314.37 0.14 0 p-sc-2104 p-sc-2104
3 4 7525.59 0.74 7 p-sc-2104 p-sc-2105
3 5 7329.48 0.75 6 p-sc-2104 p-sc-2106
3 6 7562.42 0.75 5 p-sc-2104 p-sc-2107
3 7 7475.47 0.75 4 p-sc-2104 p-sc-2108
3 8 7847.88 0.75 11 p-sc-2104 p-sc-2109
3 9 7643.73 0.74 10 p-sc-2104 p-sc-2110
3 10 7613.19 0.75 9 p-sc-2104 p-sc-2111
3 11 7797.08 0.75 8 p-sc-2104 p-sc-2112
3 12 7721.68 0.76 15 p-sc-2104 p-sc-2113
3 13 7597.62 0.75 14 p-sc-2104 p-sc-2114
3 14 7803.41 0.75 13 p-sc-2104 p-sc-2115
3 15 7779.33 0.76 12 p-sc-2104 p-sc-2116

4 0 7204.26 0.76 4 p-sc-2105 p-sc-2101
4 1 7327.75 0.75 5 p-sc-2105 p-sc-2102
4 2 7308.43 0.76 6 p-sc-2105 p-sc-2103
4 3 7526.62 0.75 7 p-sc-2105 p-sc-2104
4 4 9497.25 0.13 0 p-sc-2105 p-sc-2105
4 5 6801.93 0.76 1 p-sc-2105 p-sc-2106
4 6 7041.37 0.75 2 p-sc-2105 p-sc-2107
4 7 7129.76 0.76 3 p-sc-2105 p-sc-2108
4 8 7682.54 0.75 12 p-sc-2105 p-sc-2109
4 9 7469.26 0.74 13 p-sc-2105 p-sc-2110
4 10 7568.05 0.75 14 p-sc-2105 p-sc-2111
4 11 7799.35 0.75 15 p-sc-2105 p-sc-2112
4 12 7562.75 0.75 8 p-sc-2105 p-sc-2113
4 13 7569.07 0.76 9 p-sc-2105 p-sc-2114
4 14 7795.53 0.76 10 p-sc-2105 p-sc-2115
4 15 7567.31 0.75 11 p-sc-2105 p-sc-2116

5 0 7376.98 0.77 5 p-sc-2106 p-sc-2101
5 1 7365.12 0.75 4 p-sc-2106 p-sc-2102
5 2 7555.52 0.74 7 p-sc-2106 p-sc-2103
5 3 7328.06 0.75 6 p-sc-2106 p-sc-2104
5 4 6800.05 0.76 1 p-sc-2106 p-sc-2105
5 5 10655.82 0.12 0 p-sc-2106 p-sc-2106
5 6 7488.77 0.75 3 p-sc-2106 p-sc-2107
5 7 6996.76 0.74 2 p-sc-2106 p-sc-2108
5 8 7723.53 0.76 13 p-sc-2106 p-sc-2109
5 9 7676.29 0.73 12 p-sc-2106 p-sc-2110
5 10 7789.58 0.74 15 p-sc-2106 p-sc-2111
5 11 7729.70 0.75 14 p-sc-2106 p-sc-2112
5 12 7542.46 0.75 9 p-sc-2106 p-sc-2113
5 13 7454.14 0.77 8 p-sc-2106 p-sc-2114
5 14 7787.28 0.75 11 p-sc-2106 p-sc-2115
5 15 7659.02 0.74 10 p-sc-2106 p-sc-2116

6 0 7421.60 0.75 6 p-sc-2107 p-sc-2101
6 1 7455.49 0.74 7 p-sc-2107 p-sc-2102
6 2 7444.92 0.75 4 p-sc-2107 p-sc-2103
6 3 7560.31 0.75 5 p-sc-2107 p-sc-2104
6 4 7038.99 0.75 2 p-sc-2107 p-sc-2105
6 5 7487.59 0.75 3 p-sc-2107 p-sc-2106
